frame_num,x,y,z
15,-32.4864535402615,-12.4493980237661,-358.998979069652
16,-29.3991408105184,-14.3172080799539,-337.947021380481
17,-21.324237561615,-8.10820634944854,-322.57974380186
18,-16.1693336177517,-7.52658123749618,-302.661297771253
19,-9.23826673919479,-5.15408940238813,-282.477613713518
20,-6.21236870431936,-4.31329863172621,-265.067458679729
21,-1.46278345422565,-2.89797606845571,-245.634175678999
22,2.4930922513229,-2.23012285367434,-227.800068745636
23,5.32304989058916,-4.43458531600012,-208.19469234872
24,7.87356155407066,-6.61807406109757,-186.900704610545
25,9.44438114376292,-8.00920077455512,-166.367894671031
26,12.9522130750943,-6.13288644816819,-149.65722882546
27,14.5435873433092,-6.64478172874286,-130.060577464061
28,16.3298957202932,-5.78669815699151,-113.981635906045
29,18.335990455671,-3.49003385227213,-95.9776180244611
30,17.7686072587514,-9.29764720023917,-73.8521276318437
31,19.153291522753,-8.26481790350756,-57.1453142207133
32,19.5134087151972,-7.77572106627046,-39.8204281302804
33,18.9809548080591,-8.68651589993807,-19.9882058340337
34,19.4957448876902,-5.27839704514498,-4.60595060737568
35,18.2295462600384,-7.61829667328847,14.1010073028149
36,17.8004324388949,-5.727727028404,30.9592254161267
37,17.2768967229736,-8.02254770947096,48.7024913695598
38,15.7122704584819,-7.11298789217403,65.6116470087172
39,14.4887093247635,-6.55235748567984,81.688091509379
40,12.4690073902872,-8.53349024086889,99.9689255279581
41,10.739963498532,-5.81157713039522,115.64433501155
42,8.29226601242178,-2.03246156956555,128.862305200113
43,2.91906920697403,-5.45284062317414,146.64275338332
44,2.09025186746465,-3.79879594316479,163.484100557895
45,-0.571914656386625,-1.77384490653102,177.748186509366
46,-2.73961474769569,2.90836680521478,192.809164984682
47,-4.86204712632736,6.38124202332091,204.82299708341
48,-10.2559711208085,7.41023651247093,221.095316191366
49,-12.2327442354745,14.8247541659954,232.484274881441
50,-16.4142182820412,15.7523586120866,247.457730357528
51,-20.5751322130564,18.6973260704277,260.519880628487
52,-24.6149929219861,22.5928201277159,273.589343143303
53,-27.0963578952147,32.4089947632918,282.762700767116
54,-30.9231060334078,36.6774361228636,293.700618923566
55,-35.6475081471081,42.1996320991757,307.063641357994
