frame,x,y
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,1124.67,312.667
42,0,0
43,0,0
44,1165.89,328.222
45,1175.3,333.9
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,1246.78,372.556
52,1255.33,378.778
53,1264.9,375.9
54,0,0
55,1281.78,363.222
56,1291.11,356.222
57,1299.67,349.222
58,1306.67,343.778
59,1312.5,341.6
60,0,0
61,0,0
62,0,0
63,1346.33,322.778
64,1354.89,317.333
65,1362.67,314.222
66,1368.89,310.333
67,1376.67,307.222
68,1383.67,307.222
69,0,0
70,0,0
71,0,0
72,925.4,364.0
73,925.4,364.0
74,931.0,361.9
75,925.4,364.0
76,0,0
77,923.222,361.667
78,0,0
79,924.875,357.875
80,939.4,354.9
81,0,0
82,0,0
83,923.222,361.667
84,924.0,364.0
85,925.4,364.0
86,935.2,358.4
87,936.6,352.1
88,944.3,348.6
89,951.3,352.8
90,924.0,358.4
91,923.3,351.4
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,946.4,351.4
104,946.4,351.4
105,929.6,342.3
106,927.111,358.556
107,925.4,364.0
108,923.3,357.7
109,0,0
110,924.0,360.5
111,923.222,357.778
112,926.8,354.2
113,923.222,357.778
114,929.6,356.3
115,923.222,360.111
116,929.444,357.0
117,928.9,360.5
118,925.4,364.0
119,0,0
120,0,0
121,923.125,356.125
122,921.9,351.4
123,0,0
124,932.556,353.111
125,922.444,343.778
126,923.125,354.375
127,924.0,364.0
128,0,0
129,923.3,353.5
130,927.889,355.444
131,936.6,352.1
132,945.0,351.4
133,0,0
134,933.333,356.222
135,0,0
136,0,0
137,924.0,362.6
138,0,0
139,0,0
140,924.0,357.0
141,923.125,356.125
142,923.222,353.889
143,924.0,351.556
144,0,0
145,930.125,357.875
146,0,0
147,935.667,352.333
148,0,0
149,931.0,349.3
150,0,0
151,924.0,357.0
152,0,0
153,0,0
154,931.0,358.556
155,924.778,359.333
156,924.778,352.333
157,923.125,356.125
158,924.0,357.0
159,0,0
160,924.0,357.0
161,0,0
162,0,0
163,0,0
164,924.0,357.0
165,923.222,354.667
166,923.3,352.8
167,924.0,351.556
168,924.875,357.875
169,0,0
170,0,0
171,926.333,356.222
172,928.667,356.222
173,927.5,350.7
174,928.667,356.222
175,937.3,351.4
176,937.3,351.4
177,927.5,357.0
178,927.5,355.6
179,927.5,355.6
180,0,0
181,927.5,355.6
182,928.667,356.222
183,929.6,357.0
184,929.6,357.0
185,928.667,356.222
186,928.9,355.6
187,928.9,355.6
188,931.875,356.125
189,0,0
190,934.889,352.333
191,937.3,354.9
192,928.9,355.6
193,928.9,355.6
194,928.9,350.7
195,938.0,353.889
196,930.222,355.444
197,928.9,355.6
198,930.222,355.444
199,931.875,356.125
200,930.222,355.444
201,931.7,351.4
202,930.222,355.444
203,930.222,355.444
204,928.9,355.6
205,0,0
206,931.0,354.667
207,0,0
208,930.222,355.444
209,928.9,350.0
210,0,0
211,931.875,356.125
212,0,0
213,0,0
214,0,0
215,931.875,356.125
216,0,0
217,0,0
218,931.875,356.125
219,938.778,353.889
220,935.9,353.5
221,0,0
222,0,0
223,938.0,353.889
224,930.222,349.222
225,0,0
226,931.875,356.125
227,933.333,351.556
228,938.778,354.667
229,930.222,354.667
230,930.222,350.0
231,930.222,349.222
232,928.9,344.4
233,931.875,356.125
234,931.875,356.125
235,936.444,353.111
236,0,0
237,938.0,353.889
238,942.2,351.4
239,0,0
240,940.8,351.4
241,931.875,356.125
242,0,0
243,929.6,345.1
244,0,0
245,928.9,344.4
246,932.4,350.7
247,0,0
248,935.667,353.111
249,930.222,354.667
250,938.0,349.3
251,0,0
252,0,0
253,931.875,356.125
254,0,0
255,0,0
256,940.333,355.444
257,930.222,350.0
258,938.0,353.889
259,0,0
260,931.875,356.125
261,934.5,355.6
262,931.7,350.0
263,934.5,355.6
264,934.5,355.6
265,934.5,355.6
266,934.5,355.6
267,934.5,355.6
268,934.5,355.6
269,934.5,355.6
