frame,x,y
0,1167.2,374.5
1,1166.5,372.4
2,1168.6,371.0
3,1170.0,365.4
4,1170.0,364.0
5,1171.4,364.0
6,,
7,,
8,,
9,1174.9,354.9
10,1177.78,352.333
11,,
12,1177.0,350.0
13,1178.4,350.0
14,1180.5,348.6
15,1180.5,348.6
16,1181.67,349.222
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,1199.4,366.1
55,1198.0,368.9
56,1195.9,370.3
57,1202.9,368.9
58,1201.5,369.6
59,1201.5,371.7
60,1202.9,368.2
61,1213.4,364.0
62,1213.4,359.8
63,1216.9,358.4
64,1221.1,355.6
65,1225.3,353.5
66,1228.1,350.7
67,1228.1,350.0
68,1241.4,344.4
69,1237.2,343.7
70,1244.2,343.0
71,1247.7,342.3
72,1250.5,340.9
73,1249.1,342.3
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,1425.89,346.111
91,1432.5,351.4
92,1439.5,355.6
93,1447.2,359.1
94,1454.2,366.1
95,1458.4,371.0
96,1465.4,378.0
97,1471.0,383.6
98,1472.4,388.5
99,,
100,,
101,,
102,,
103,,
104,,
105,763.3,545.3
106,768.375,533.75
107,,
108,,
109,,
110,,
111,764.0,539.875
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,761.375,518.0
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,623.222,318.889
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,635.0,334.0
198,,
199,,
200,,
201,635.375,330.75
202,,
203,,
204,,
205,,
206,,
207,635.375,330.75
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,637.222,330.556
219,,
220,,
221,,
222,,
223,635.9,306.6
224,,
225,,
226,,
227,,
228,,
229,634.5,336.0
230,,
231,,
232,634.0,322.0
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,635.0,334.0
