frame,x,y
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,565.6,314.3
6,577.5,307.3
7,597.8,303.1
8,619.5,293.3
9,643.3,286.3
10,662.2,280.7
11,682.5,276.5
12,703.5,270.9
13,724.5,267.4
14,741.3,263.9
15,766.5,259.7
16,785.4,254.8
17,804.3,252.0
18,823.9,252.0
19,842.8,249.2
20,860.3,248.5
21,880.6,244.3
22,896.7,244.3
23,914.9,244.3
24,928.9,243.6
25,949.9,243.6
26,966.0,243.6
27,982.1,244.3
28,997.5,245.0
29,1010.1,247.1
30,1025.5,250.6
31,1042.3,249.9
32,1059.1,251.3
33,1070.3,254.1
34,1084.3,256.9
35,1095.5,260.4
36,1109.5,264.6
37,1122.8,264.6
38,1136.8,271.6
39,1146.6,273.0
40,1158.5,278.6
41,1168.3,280.7
42,1180.9,285.6
43,1189.3,289.1
44,1199.8,294.0
45,1209.6,300.3
46,1219.4,301.7
47,1228.5,308.0
48,1237.6,315.0
49,1243.9,317.1
50,1254.4,322.7
51,1262.8,329.0
52,1270.5,336.0
53,1277.5,339.5
54,1284.5,343.0
55,1291.5,350.0
56,1298.5,350.0
57,1302.0,344.4
58,1305.5,337.4
59,1311.1,331.1
60,1316.0,329.0
61,1319.5,322.0
62,1326.5,315.0
63,1330.0,311.5
64,1333.5,308.0
65,1339.1,303.1
66,1342.6,301.7
67,1346.1,296.1
68,1351.0,294.0
69,1355.2,289.1
70,1358.0,287.0
71,1363.6,283.5
72,1365.0,280.0
73,1369.67,279.222
74,1372.78,275.333
75,1377.6,273.0
76,1374.8,276.5
77,1382.5,271.6
78,1386.0,273.0
79,1387.4,269.5
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,647.0,335.0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,637.0,333.667
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,651.0,332.0
184,0,0
185,0,0
186,0,0
187,0,0
188,948.5,316.75
189,0,0
190,0,0
191,0,0
192,0,0
193,939.75,323.75
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,923.0,320.0
221,0,0
222,0,0
223,0,0
224,0,0
225,658.0,334.25
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,647.5,333.667
