frame,x,y
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,1314.5,267.2
8,1297.0,266.111
9,1276.7,262.3
10,1262.0,259.889
11,,
12,,
13,,
14,,
15,,
16,,
17,1129.7,248.3
18,1111.5,249.7
19,1087.7,249.7
20,1069.11,252.111
21,1059.7,251.8
22,1027.89,255.222
23,1015.6,256.0
24,998.1,258.8
25,976.556,259.889
26,,
27,,
28,924.6,272.1
29,,
30,,
31,848.125,284.0
32,,
33,823.333,295.667
34,,
35,794.556,298.0
36,777.444,304.222
37,751.0,317.25
38,730.0,317.6
39,,
40,,
41,,
42,683.625,354.875
43,665.444,359.444
44,,
45,,
46,625.0,389.0
47,609.25,400.375
48,,
49,,
50,,
51,,
52,,
53,537.5,455.5
54,530.111,465.222
55,,
56,,
57,,
58,485.0,476.5
59,,
60,,
61,,
62,935.625,600.75
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,939.125,590.25
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,941.0,596.0
111,940.875,592.875
112,935.625,598.125
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,932.222,596.667
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,945.444,595.111
148,,
149,936.889,597.444
150,933.875,597.25
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,939.125,592.875
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,678.0,282.0
186,,
187,,
188,,
189,,
190,942.0,593.0
191,,
192,933.778,601.333
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,940.0,598.0
204,,
205,,
206,,
207,,
208,,
209,941.75,595.5
210,,
211,,
212,,
213,934.75,599.0
214,940.875,592.875
215,,
216,929.0,603.0
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,936.0,599.0
227,933.0,599.0
228,,
229,,
230,,
231,935.333,595.111
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,931.444,600.556
241,,
242,,
243,,
244,,
245,,
246,,
247,936.5,595.5
248,,
249,940.778,596.667
