frame,x,y
0,908.667,384.222
1,909.6,385.0
2,909.6,385.0
3,,
4,,
5,909.6,385.0
6,909.6,385.0
7,908.2,387.1
8,907.5,390.6
9,907.5,390.6
10,906.1,387.1
11,,
12,,
13,,
14,,
15,,
16,905.4,385.0
17,906.333,384.222
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,1452.33,422.333
51,1465.4,431.9
52,,
53,,
54,897.0,388.5
55,897.875,385.875
56,897.875,385.875
57,,
58,,
59,,
60,,
61,894.9,386.4
62,894.2,387.1
63,893.5,387.1
64,893.5,388.5
65,893.5,388.5
66,893.5,388.5
67,893.889,385.778
68,893.889,385.778
69,893.889,385.778
70,893.889,385.778
71,893.889,385.778
72,893.889,385.778
73,893.889,385.778
74,,
75,,
76,,
77,891.4,388.5
78,892.1,387.1
79,890.778,387.333
80,,
81,890.0,385.0
82,890.0,385.0
83,890.0,385.0
84,890.0,385.0
85,890.0,385.0
86,890.875,385.875
87,890.778,387.333
88,890.0,388.5
89,,
90,890.0,388.5
91,890.0,388.5
92,,
93,,
94,890.0,385.0
95,,
96,,
97,,
98,886.5,386.4
99,887.667,391.222
100,,
101,889.222,389.667
102,,
103,,
104,,
105,885.333,384.222
106,885.333,384.222
107,885.333,384.222
108,885.1,387.1
109,,
110,887.667,391.222
111,,
112,,
113,,
114,885.333,384.222
115,883.875,384.125
116,,
117,883.875,384.125
118,,
119,883.0,388.5
120,,
121,883.0,386.4
122,883.0,385.0
123,883.0,385.0
124,,
125,,
126,,
127,883.0,385.0
128,883.0,385.0
129,882.222,387.333
130,883.0,386.4
131,883.0,385.0
132,883.0,385.0
133,,
134,,
135,883.0,385.0
136,883.0,385.0
137,883.0,385.0
138,,
139,883.0,385.0
140,882.125,384.125
141,880.667,384.222
142,,
143,880.667,384.222
144,880.667,384.222
145,880.667,384.222
146,880.667,388.111
147,,
148,,
149,,
150,879.111,384.222
151,879.5,385.0
152,,
153,878.333,385.778
154,,
155,879.5,385.0
156,878.1,383.6
157,878.1,383.6
158,,
159,876.778,383.444
160,,
161,876.0,385.0
162,876.0,385.0
163,,
164,,
165,878.1,383.6
166,,
167,875.125,384.125
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,875.125,384.125
176,,
177,,
178,,
179,,
180,,
181,875.125,384.125
182,,
183,,
184,,
185,,
186,,
187,,
188,875.125,384.125
189,875.125,384.125
190,,
191,875.125,384.125
192,875.125,384.125
193,,
194,,
195,,
196,875.125,384.125
197,875.125,384.125
198,,
199,,
200,875.125,384.125
201,875.125,384.125
202,875.125,384.125
203,875.125,384.125
204,875.125,384.125
205,875.0,383.0
206,,
207,,
208,,
209,,
210,,
211,875.0,383.0
212,875.0,383.0
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,873.667,385.0
236,,
237,875.125,384.125
238,,
239,875.125,384.125
240,,
241,,
242,,
243,,
244,875.0,383.0
245,875.125,384.125
246,875.125,384.125
247,,
248,,
249,,
250,,
251,875.125,384.125
252,875.125,384.125
253,,
254,,
255,875.125,384.125
256,,
257,882.222,381.111
258,875.125,384.125
259,,
260,875.125,384.125
261,875.125,384.125
262,875.125,384.125
263,,
264,,
265,,
266,875.125,384.125
267,875.125,384.125
