frame,x,y
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,748.0,532.0
11,0,0
12,601.6,303.1
13,609.222,298.667
14,0,0
15,640.625,288.75
16,0,0
17,0,0
18,672.3,283.5
19,0,0
20,709.4,273.0
21,717.1,271.6
22,735.3,268.1
23,749.3,266.7
24,757.0,264.6
25,771.0,272.3
26,0,0
27,810.2,262.5
28,822.1,264.6
29,839.6,264.6
30,855.7,261.8
31,871.1,260.4
32,885.1,260.4
33,902.6,261.8
34,916.6,263.2
35,932.7,264.6
36,949.5,266.0
37,969.8,270.9
38,985.2,272.3
39,1000.6,273.7
40,1016.7,278.6
41,1035.6,280.7
42,1052.4,287.7
43,1070.6,292.6
44,1084.6,297.5
45,1104.9,301.7
46,1118.2,307.3
47,1137.8,314.3
48,1153.9,322.0
49,1175.6,327.6
50,1190.3,336.0
51,1209.2,343.0
52,1226.0,350.7
53,1244.9,361.9
54,1261.0,370.3
55,1274.3,380.1
56,1297.4,390.6
57,1314.9,399.7
58,1333.1,410.2
59,1348.5,420.0
60,1361.1,433.3
61,1379.3,445.2
62,1396.1,456.4
63,1408.0,465.5
64,1422.0,458.5
65,1436.0,452.9
66,1451.4,447.3
67,1467.5,441.0
68,1472.4,439.6
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,757.778,497.0
101,0,0
102,0,0
103,763.125,546.0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,760.0,528.0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,1093.88,212.625
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,761.667,522.667
193,0,0
194,0,0
195,764.0,513.0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,745.333,500.889
202,0,0
203,758.0,528.0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,771.0,529.375
267,0,0
268,0,0
269,0,0
270,767.0,512.0
