frame,x,y
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,605.1,299.6
7,0,0
8,0,0
9,0,0
10,0,0
11,689.8,289.8
12,700.3,282.1
13,712.9,278.6
14,728.3,273.7
15,743.0,271.6
16,758.4,273.0
17,776.6,273.7
18,793.4,275.1
19,809.5,273.0
20,827.0,271.6
21,843.1,272.3
22,861.3,271.6
23,877.4,273.7
24,896.3,278.6
25,913.1,279.3
26,931.3,282.8
27,951.6,285.6
28,967.0,288.4
29,985.2,293.3
30,999.9,297.5
31,1018.8,301.0
32,1036.3,305.9
33,1059.4,312.2
34,1071.3,317.1
35,1090.9,325.5
36,1106.3,331.1
37,1125.2,337.4
38,1143.4,345.8
39,1158.1,355.6
40,1177.7,362.6
41,1193.1,370.3
42,1207.1,377.3
43,1228.1,389.2
44,1242.1,397.6
45,1258.9,408.8
46,1270.1,413.0
47,1285.5,413.0
48,0,0
49,1316.3,397.6
50,1331.7,389.9
51,1346.4,387.1
52,1359.7,380.1
53,1372.3,378.0
54,1387.0,372.4
55,1402.4,367.5
56,1415.0,364.0
57,1429.0,360.5
58,1444.4,356.3
59,1459.8,353.5
60,1469.6,352.1
61,0,0
62,0,0
63,0,0
64,780.0,512.0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,767.889,525.0
100,0,0
101,0,0
102,772.0,531.0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,778.0,514.5
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,770.125,524.125
207,0,0
208,0,0
209,0,0
210,0,0
211,768.2,528.5
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,775.375,505.75
225,0,0
226,0,0
227,0,0
228,772.556,503.222
229,0,0
230,0,0
231,0,0
232,761.0,498.0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,764.0,523.25
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,764.875,529.375
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,773.333,495.833
