frame,x,y
0,0,0
1,921.9,344.4
2,921.9,344.4
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,892.111,229.444
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,924.0,343.0
46,923.3,338.8
47,0,0
48,0,0
49,930.222,340.667
50,931.875,341.25
51,0,0
52,0,0
53,924.0,343.0
54,0,0
55,924.875,342.125
56,0,0
57,924.875,342.125
58,0,0
59,921.667,342.222
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,922.444,325.889
66,924.0,330.75
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,918.75,331.625
77,917.7,329.7
78,0,0
79,916.125,331.625
80,0,0
81,916.125,342.125
82,0,0
83,913.5,322.0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,915.0,342.0
90,915.25,336.875
91,0,0
92,0,0
93,0,0
94,0,0
95,915.25,336.875
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,922.444,336.778
107,0,0
108,920.889,336.0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,921.667,328.222
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,920.5,336.875
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,921.667,337.556
152,919.333,331.333
153,921.2,338.8
154,0,0
155,922.444,338.333
156,0,0
157,0,0
158,922.0,336.0
159,0,0
160,0,0
161,920.5,339.5
162,920.5,336.875
163,0,0
164,920.5,336.875
165,920.111,338.333
166,0,0
167,920.111,338.333
168,918.75,338.625
169,920.111,338.333
170,920.111,338.333
171,0,0
172,921.667,337.556
173,920.111,338.333
174,0,0
175,922.444,337.556
176,0,0
177,0,0
178,920.5,336.875
179,921.2,338.8
180,924.0,336.7
181,919.333,339.889
182,920.5,336.875
183,920.111,338.333
184,921.375,337.75
185,920.111,338.333
186,920.5,339.5
187,920.5,336.875
188,0,0
189,921.667,337.556
190,923.125,336.875
191,0,0
192,919.8,334.6
193,0,0
194,921.9,340.9
195,920.5,339.5
196,920.111,332.111
197,0,0
198,920.111,338.333
199,920.111,338.333
200,920.111,338.333
201,0,0
202,0,0
203,920.111,338.333
204,0,0
205,0,0
206,0,0
207,921.667,339.111
208,921.375,337.75
209,921.375,337.75
210,0,0
211,920.111,338.333
212,920.111,332.889
213,920.111,332.889
214,920.5,336.875
215,920.5,329.7
216,0,0
217,920.111,338.333
218,920.111,338.333
219,0,0
220,922.0,336.0
221,920.111,338.333
222,920.111,338.333
223,0,0
224,0,0
225,923.125,336.875
226,941.111,338.333
227,920.111,338.333
228,922.444,332.111
229,920.889,329.778
230,0,0
231,921.375,337.75
232,921.2,330.4
233,0,0
234,0,0
235,0,0
236,921.375,337.75
237,921.667,337.556
238,921.667,333.667
239,920.111,329.0
240,916.222,314.222
