frame,x,y
0,0,0
1,0,0
2,0,0
3,0,0
4,1304.0,266.889
5,0,0
6,1269.0,266.5
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,1083.5,274.667
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,926.0,312.0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,532.6,354.0
47,516.111,329.889
48,0,0
49,523.111,375.0
50,0,0
51,492.0,391.8
52,475.9,398.1
53,0,0
54,506.778,298.778
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,509.889,308.111
62,509.5,309.2
63,0,0
64,0,0
65,0,0
66,0,0
67,507.556,301.111
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,485.778,243.556
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,481.5,242.875
98,0,0
99,0,0
100,478.0,242.875
101,479.556,243.556
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,480.625,242.875
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,481.5,238.5
143,479.556,238.111
144,0,0
145,483.444,238.889
146,485.0,238.5
147,483.444,238.111
148,485.7,239.2
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,478.875,237.625
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,479.556,238.111
168,479.556,238.111
169,479.556,238.111
170,479.556,238.111
171,479.556,238.111
172,480.8,239.2
173,480.8,239.2
174,479.556,238.111
175,0,0
176,478.7,239.2
177,478.0,238.111
178,478.0,238.111
179,478.7,239.2
180,478.0,240.444
181,478.0,240.444
182,478.0,240.444
183,479.556,242.778
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,480.333,244.333
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,475.0,248.0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,488.5,243.75
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,486.75,248.125
219,487.333,249.0
220,0,0
221,487.625,249.875
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,490.444,245.889
249,0,0
250,488.889,249.0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,480.625,253.375
