frame,x,y
0,,
1,1355.0,314.0
2,,
3,565.6,311.5
4,580.3,306.6
5,611.8,296.1
6,639.1,287.7
7,664.3,281.4
8,691.6,273.0
9,716.8,268.1
10,742.0,262.5
11,764.4,256.2
12,789.6,251.3
13,820.4,247.8
14,843.5,241.5
15,868.0,238.0
16,893.2,233.8
17,916.3,229.6
18,941.5,224.7
19,962.5,222.6
20,983.5,222.6
21,1005.2,219.8
22,1026.9,216.3
23,1043.7,215.6
24,1065.4,215.6
25,1087.1,211.4
26,1105.3,211.4
27,1124.9,210.7
28,1141.0,211.4
29,1158.5,210.0
30,1176.0,211.4
31,1190.0,211.4
32,1206.8,210.0
33,1225.0,213.111
34,1238.22,214.667
35,1253.0,215.6
36,1268.4,216.3
37,1281.0,217.0
38,1297.33,219.333
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,1357.3,336.7
49,1357.3,336.7
50,1362.2,331.8
51,1358.0,336.0
52,1357.3,336.0
53,1362.2,332.5
54,1364.3,331.1
55,1360.8,333.9
56,1360.8,332.5
57,1367.1,330.4
58,1366.4,330.4
59,1367.1,330.4
60,1364.3,332.5
61,1362.9,332.5
62,1361.5,332.5
63,1361.5,331.8
64,1361.5,331.8
65,1363.6,331.8
66,1362.2,331.1
67,1367.1,326.9
68,1367.1,328.3
69,1365.7,327.6
70,1367.1,326.9
71,1367.1,326.2
72,1367.1,326.9
73,1367.1,326.2
74,1368.5,326.9
75,1370.6,325.5
76,1370.6,325.5
77,1366.4,324.8
78,1366.4,324.8
79,1370.6,325.5
80,1366.4,324.8
81,1367.33,323.556
82,1369.67,321.222
83,1373.4,322.7
84,1374.1,322.7
85,1375.5,322.0
86,1374.62,322.875
87,1372.0,326.667
88,1374.8,321.3
89,1377.6,320.6
90,1379.0,319.9
91,1369.2,323.4
92,1372.7,320.6
93,,
94,,
95,1368.5,317.625
96,1360.1,316.4
97,1360.62,316.75
98,,
99,,
100,1358.0,315.0
101,,
102,,
103,,
104,1354.5,315.0
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,597.8,336.7
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,624.556,333.667
243,,
244,,
245,,
246,,
247,1366.75,294.0
248,,
249,,
250,1390.9,268.1
251,1385.3,273.7
252,1384.44,273.778
253,1389.5,263.9
254,1389.89,268.333
255,,
256,1386.7,262.5
257,1386.7,262.5
258,1387.4,262.5
259,1388.8,263.9
260,1388.8,263.9
261,1388.8,264.6
262,1386.7,261.8
263,1386.7,263.9
264,1389.5,268.1
265,1388.8,266.0
266,1388.8,262.5
267,1388.1,262.5
268,1390.2,267.4
269,1389.5,263.2
270,1388.1,267.4
