frame,x,y
0,,
1,677.111,556.222
2,676.1,555.6
3,675.556,551.556
4,670.111,549.222
5,,
6,669.1,546.5
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,649.111,542.222
16,649.5,544.4
17,648.1,548.6
18,648.333,547.667
19,646.778,549.222
20,646.778,550.778
21,,
22,,
23,,
24,,
25,,
26,641.1,569.6
27,642.111,570.222
28,642.111,577.222
29,642.5,579.4
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,613.333,575.667
46,,
47,,
48,,
49,,
50,607.111,584.222
51,,
52,606.1,590.6
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,486.4,368.0
89,481.5,369.4
90,478.778,374.222
91,473.1,377.1
92,471.0,382.0
93,468.667,385.111
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,927.167,603.667
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,936.5,595.5
139,,
140,,
141,,
142,936.111,594.333
143,,
144,,
145,940.0,597.25
146,,
147,,
148,,
149,,
150,,
151,,
152,940.778,592.778
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,936.111,592.778
219,,
220,,
221,,
222,,
223,938.0,600.0
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,929.0,602.0
